수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%),2021 - 수입금액(천$),2021 - 수입 증가율(%),2021 - 수출액(천$),2021 - 수출 증가율(%),2020 - 수입금액(천$),2020 - 수입 증가율(%),2020 - 수출액(천$),2020 - 수출 증가율(%)
38,덴마크,"126,827","196,338","69,511",140,0.1,26.8,44.6,0.6,140,"슬로바키아(34,177)","이탈리아(22,204)","중국(14,275)","스웨덴(7,905)","루마니아(7,651)","독일(6,824)","미국(1,804)","폴란드(1,717)","일본(1,096)","프랑스(1,053)",영국(847),네덜란드(780),노르웨이(731),태국(726),벨기에(387),스위스(235),멕시코(218),체코(201),불가리아(200),스페인(144),한국(140),아이슬란드(77),브라질(44),리투아니아(29),오스트리아(27),헝가리(18),그린란드(15),인도(12),캐나다(6),튀르키예(6),"126,827",76.8,"196,338",11.0,"71,742",18.4,"176,935",15.7,"60,615",19.0,"152,935",7.7
39,인도네시아,"61,078","78,513","17,435",-,-,9.7,35.2,0.3,-,"중국(34,399)","일본(13,497)","싱가포르(6,880)","필리핀(2,455)",독일(635),미국(622),캐나다(561),덴마크(250),인도(79),영국(76),체코(59),홍콩(48),네덜란드(42),스위스(38),튀르키예(36),슬로바키아(30),벨기에(27),프랑스(19),오스트리아(17),노르웨이(10),스웨덴(8),폴란드(1),-,-,-,-,-,-,-,-,"61,078",30.3,"78,513",126.5,"46,857",40.2,"34,668",7.5,"33,419",-11.6,"32,262",-38.1
40,미얀마,"3,159",24,"-3,135",1,0.0,-39.0,-66.2,0.0,-,중국(890),프랑스(563),일본(546),태국(416),미국(401),인도네시아(78),싱가포르(78),인도(70),영국(59),독일(20),스위스(5),홍콩(2),한국(1),에스와티니(1),멕시코(1),스웨덴(0),슬로베니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,"3,159",53.6,24,-,"2,056",-92.5,-,-,"27,573",-47.7,124,-12.6
41,케냐,"2,593",55,"-2,538",-,-,35.2,186.5,0.0,-,"중국(2,219)",미국(123),인도(86),독일(38),영국(30),스위스(10),프랑스(9),튀르키예(5),체코(4),벨기에(3),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,593",198.0,55,-98.3,870,175.4,"3,354",25.8,316,-34.9,"2,667",39.6
42,이스라엘,"41,263","4,826","-36,437",992,2.4,4.7,25.5,0.2,992,"중국(7,709)","미국(7,004)","스위스(4,433)","독일(2,680)","홍콩(2,142)","스페인(1,265)","루마니아(1,121)","일본(1,048)",한국(992),이탈리아(970),프랑스(566),영국(435),스웨덴(343),멕시코(252),태국(240),튀르키예(228),아일랜드(221),헝가리(207),네덜란드(205),덴마크(198),오스트리아(126),인도(118),벨기에(86),싱가포르(76),체코(71),튀니지(52),브라질(49),-,폴란드(31),필리핀(28),"41,263",35.0,"4,826",256.4,"30,556",16.6,"1,354",-6.6,"26,199",-54.8,"1,450",1.8
43,모잠비크,575,69,-506,6,1.0,4.6,44.0,0.0,-,우간다(149),남아프리카공화국(117),포르투갈(75),아랍에미리트(65),중국(46),호주(32),미국(20),인도(8),한국(6),스페인(5),영국(2),네덜란드(2),-,-,-,-,-,-,멕시코(1),-,-,-,-,스위스(1),프랑스(0),-,-,-,-,-,575,-83.4,69,-,"3,460","1,146.2",-,-,278,-54.8,0,-96.2
44,아르헨티나,"40,250","1,681","-38,569",587,1.5,-6.6,56.8,0.2,587,"중국(7,124)","멕시코(5,985)","인도네시아(5,341)","브라질(3,177)","일본(2,677)","미국(2,387)","프랑스(2,094)",독일(986),한국(587),모로코(557),체코(453),덴마크(340),스위스(251),헝가리(205),스페인(165),캐나다(158),이스라엘(128),태국(113),튀르키예(96),스웨덴(44),루마니아(39),영국(34),네덜란드(28),슬로바키아(26),폴란드(25),말레이시아(9),벨기에(9),인도(9),세르비아(7),아일랜드(6),"40,250",34.9,"1,681",190.8,"29,828",82.2,578,-28.1,"16,372",-27.3,804,-52.9
45,캄보디아,"13,246",200,"-13,046",-,-,149.5,253.4,0.1,-,"중국(13,222)",영국(8),독일(4),인도(2),싱가포르(1),슬로베니아(1),오스트리아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,246",-63.8,200,-64.0,"36,609","3,350.7",555,-31.0,"1,061",-25.4,804,-24.7
46,콜롬비아,"6,992",305,"-6,687",-,-,0.9,-3.2,0.0,-,"중국(3,412)","미국(1,429)",독일(497),프랑스(239),멕시코(154),스위스(102),인도(63),오스트리아(23),덴마크(19),영국(17),스페인(13),네덜란드(13),캐나다(12),체코(11),벨기에(8),일본(7),스웨덴(5),슬로베니아(5),튀르키예(1),헝가리(0),-,-,-,-,-,-,-,-,-,-,"6,992",-18.7,305,-22.5,"8,602",15.3,394,-45.4,"7,463",-13.2,721,1.9
47,아일랜드,"8,941","2,839","-6,103",133,1.5,29.9,16.7,0.0,-,"미국(3,649)","중국(1,990)","영국(1,110)",스위스(447),독일(261),튀르키예(232),인도네시아(159),멕시코(155),일본(152),한국(133),벨기에(89),네덜란드(84),이탈리아(82),슬로베니아(36),프랑스(32),스웨덴(24),오스트리아(23),이스라엘(20),덴마크(20),싱가포르(15),노르웨이(9),슬로바키아(9),폴란드(8),기타국(6),헝가리(6),캐나다(5),스페인(4),튀니지(4),인도(4),태국(4),"8,941",-19.8,"2,839",-10.0,"11,150",69.8,"3,153",68.4,"6,567",-0.4,"1,872",-21.0
48,사우디아라비아,"17,783",307,"-17,476",-,-,-10.7,-19.5,0.1,-,"중국(8,465)","미국(2,916)","독일(1,264)","일본(1,201)","스위스(1,039)",영국(314),스페인(164),네덜란드(124),체코(57),스웨덴(56),캐나다(52),튀르키예(41),싱가포르(30),프랑스(25),오스트리아(18),인도(13),벨기에(13),폴란드(3),덴마크(3),노르웨이(1),헝가리(1),-,-,-,-,-,-,-,-,-,"17,783",37.5,307,70.6,"12,937",-52.8,180,-43.3,"27,428",-17.7,317,4.3
49,필리핀,"18,308","145,529","127,221",442,2.4,1.0,-1.9,0.1,-,"중국(5,902)","싱가포르(4,456)","일본(1,450)","미국(1,338)",홍콩(978),한국(442),말레이시아(351),독일(341),스웨덴(328),베트남(230),네덜란드(162),캄보디아(94),인도네시아(56),태국(55),벨기에(54),스위스(50),영국(44),인도(38),프랑스(36),멕시코(16),튀르키예(13),호주(10),세르비아(8),오스트리아(8),스페인(8),덴마크(6),슬로베니아(5),체코(4),헝가리(3),노르웨이(3),"18,308",-9.8,"145,529",43.6,"20,293",6.7,"101,310",9.5,"19,015",26.9,"92,545",-1.9
50,스리랑카,"23,318",23,"-23,295",50,0.2,25.1,37.8,0.1,50,"중국(19,626)","베트남(2,887)",싱가포르(166),아랍에미리트(117),인도(81),한국(50),독일(29),이탈리아(21),미국(20),일본(12),루마니아(11),영국(10),캐나다(6),튀르키예(6),노르웨이(6),프랑스(5),홍콩(4),덴마크(4),스웨덴(3),스페인(2),호주(1),태국(1),스위스(1),인도네시아(1),폴란드(1),벨기에(1),말레이시아(0),남아프리카공화국(0),오스트리아(0),기타국(0),"23,318",-43.1,23,-62.9,"40,958",233.8,62,-47.2,"12,271",27.6,118,4.4
51,남아프리카공화국,"56,642","2,674","-53,968",709,1.3,13.0,52.6,0.3,709,"인도네시아(8,291)","중국(7,236)","독일(5,456)","이탈리아(3,189)","미국(2,537)","일본(1,575)","세르비아(1,566)",튀르키예(754),헝가리(750),한국(709),태국(538),슬로바키아(438),인도(434),스위스(391),스페인(347),폴란드(300),체코(236),프랑스(192),스웨덴(171),브라질(154),영국(137),네덜란드(117),호주(99),멕시코(83),사우디아라비아(59),덴마크(58),불가리아(47),오스트리아(37),홍콩(29),핀란드(26),"56,642",91.0,"2,674",-2.1,"29,663",21.9,"2,732",59.6,"24,340",-29.7,"1,712",-44.9
52,세르비아,"6,440","287,425","280,985",15,0.2,-13.8,30.0,0.0,-,"독일(1,147)",중국(703),이탈리아(411),스위스(176),프랑스(160),헝가리(130),미국(105),일본(61),브라질(57),덴마크(43),체코(37),스페인(33),네덜란드(30),벨기에(28),튀르키예(25),루마니아(23),슬로베니아(22),아일랜드(18),스웨덴(17),불가리아(16),멕시코(16),영국(16),한국(15),크로아티아(15),오스트리아(14),태국(12),말레이시아(11),폴란드(10),튀니지(5),미얀마(5),"6,440",21.3,"287,425",218.5,"5,310",39.4,"90,239",14.5,"3,809",-56.5,"78,810",-13.7
53,아랍에미리트,"53,658","1,260","-52,398",-,-,20.7,59.0,0.3,-,"중국(28,729)","일본(7,040)","미국(3,961)","독일(3,522)","영국(1,170)",인도(996),네덜란드(393),싱가포르(315),프랑스(299),스위스(222),튀르키예(218),필리핀(182),벨기에(133),체코(87),스웨덴(74),오스트리아(51),캐나다(36),덴마크(33),스페인(28),슬로바키아(24),노르웨이(17),폴란드(11),세르비아(5),슬로베니아(0),헝가리(0),홍콩(0),-,-,-,-,"53,658",124.9,"1,260",-88.0,"23,858",12.5,"10,493",1.7,"21,214",10.1,"10,320",3.6
54,나이지리아,"16,920",68,"-16,852",-,-,49.1,-21.6,0.1,-,"중국(14,885)",미국(420),독일(419),스위스(180),인도(132),프랑스(42),벨기에(32),영국(27),체코(20),싱가포르(20),튀르키예(14),네덜란드(13),일본(5),오스트리아(4),노르웨이(1),세르비아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,920",-7.2,68,-43.5,"18,225",-33.7,120,802.7,"27,504",29.0,13,54.2
55,노르웨이,"28,841","15,504","-13,338",75,0.3,17.8,34.7,0.1,-,"독일(3,802)","중국(2,838)","미국(2,433)","캐나다(1,136)","스웨덴(1,033)",슬로바키아(841),덴마크(694),핀란드(614),이탈리아(589),스위스(471),일본(440),헝가리(336),프랑스(334),폴란드(303),영국(226),네덜란드(220),체코(174),스페인(140),오스트리아(138),벨기에(133),슬로베니아(124),멕시코(104),불가리아(80),한국(75),루마니아(51),아일랜드(45),필리핀(44),태국(43),포르투갈(32),엘살바도르(17),"28,841",56.0,"15,504",-12.1,"18,484",16.3,"17,639",32.0,"15,897",-15.8,"13,361",88.3
56,칠레,"14,917",188,"-14,729",49,0.3,18.7,44.7,0.1,-,"미국(6,533)","중국(1,662)","독일(1,140)",기타국(753),이탈리아(623),프랑스(248),스웨덴(196),스페인(175),멕시코(164),브라질(153),일본(130),덴마크(119),노르웨이(116),스위스(106),영국(77),네덜란드(66),태국(61),남아프리카공화국(52),튀르키예(49),한국(49),캐나다(22),벨기에(16),헝가리(16),포르투갈(15),핀란드(14),호주(13),체코(11),오스트리아(10),불가리아(10),슬로바키아(9),"14,917",27.8,188,-60.1,"11,668",63.7,471,44.7,"7,127",-5.8,326,-21.5
57,부룬디,34,-,-,14,40.2,4.5,-59.5,0.0,-,아랍에미리트(15),한국(14),중국(4),인도(1),벨기에(1),미국(0),스페인(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-91.6,-,-,405,95.8,-,-,207,-27.8,-,-
58,우크라이나,"31,200","2,314","-28,887",54,0.2,47.9,97.9,0.2,-,"중국(7,116)","독일(1,232)",이탈리아(562),미국(552),스위스(319),폴란드(285),스웨덴(244),덴마크(153),오스트리아(113),체코(98),튀르키예(65),프랑스(61),일본(60),한국(54),브라질(45),스페인(40),벨기에(40),슬로바키아(36),헝가리(31),그리스(31),멕시코(29),영국(29),세르비아(29),네덜란드(21),인도(19),러시아연방(17),불가리아(14),포르투갈(9),말레이시아(8),태국(6),"31,200",167.0,"2,314",6.2,"11,686",46.7,"2,179",-17.5,"7,967",1.8,"2,641",178.0
59,이란,"13,056",32,"-13,024",-,-,-8.3,3.6,0.1,-,"중국(11,203)",튀르키예(663),독일(339),일본(21),폴란드(11),프랑스(7),스페인(4),스웨덴(4),네덜란드(3),체코(3),벨기에(2),스위스(2),헝가리(1),오스트리아(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,056",29.0,32,-73.6,"10,118",-16.9,120,"38,359.5","12,176",23.9,0,338.0
60,모로코,"37,658","34,445","-3,214",54,0.1,28.8,80.4,0.2,-,"프랑스(17,292)","스페인(3,503)","중국(2,774)",태국(394),독일(313),폴란드(296),튀르키예(199),미국(134),스위스(102),포르투갈(91),일본(64),한국(54),헝가리(44),영국(41),덴마크(16),루마니아(16),멕시코(13),슬로바키아(11),스웨덴(9),오스트리아(9),네덜란드(6),체코(5),튀니지(4),벨기에(3),베트남(3),인도(2),싱가포르(2),브라질(2),이집트(2),노르웨이(1),"37,658",235.1,"34,445",105.4,"11,239",-2.9,"16,771",182.7,"11,572",60.0,"5,933",100.7
61,뉴질랜드,"17,423","1,421","-16,002",146,0.8,18.2,38.0,0.1,-,"중국(4,549)","태국(1,986)","독일(1,293)","이탈리아(1,049)",미국(912),호주(768),덴마크(687),스위스(513),일본(363),프랑스(336),벨기에(161),한국(146),튀니지(119),영국(112),말레이시아(109),캐나다(97),헝가리(76),스페인(62),폴란드(51),체코(50),슬로베니아(44),이스라엘(43),세르비아(42),남아프리카공화국(42),네덜란드(40),홍콩(37),스웨덴(34),아랍에미리트(27),멕시코(24),오스트리아(23),"17,423",37.5,"1,421",38.4,"12,669",38.4,"1,027",94.1,"9,154",-16.9,529,-29.8
62,그리스,"4,080",472,"-3,608",1,0.0,22.1,29.8,0.0,-,일본(987),독일(869),중국(410),이탈리아(348),벨기에(283),네덜란드(189),싱가포르(129),스위스(99),미국(79),덴마크(31),영국(26),체코(24),폴란드(23),프랑스(17),캐나다(11),스페인(10),스웨덴(9),루마니아(8),불가리아(7),헝가리(6),이스라엘(5),오스트리아(4),뉴질랜드(4),폴리네시아(프)(3),튀르키예(3),키프로스(2),슬로베니아(1),슬로바키아(1),한국(1),필리핀(0),"4,080",32.2,472,12.5,"3,086",27.5,420,40.6,"2,420",-18.6,298,35.8
63,이집트,"2,387",62,"-2,325",3,0.1,-15.1,-25.8,0.0,-,핀란드(226),중국(225),미국(215),독일(63),네덜란드(62),우크라이나(50),그리스(35),스페인(33),튀르키예(31),스위스(22),인도(18),스웨덴(14),덴마크(12),체코(6),오스트리아(6),프랑스(5),튀니지(4),폴란드(4),헝가리(3),슬로바키아(3),한국(3),일본(3),루마니아(2),영국(1),벨기에(1),기타국(0),싱가포르(0),-,-,-,"2,387",58.7,62,74.1,"1,504",-65.3,35,-93.8,"4,336",82.3,572,-42.9
64,핀란드,"12,979","1,534","-11,445",66,0.5,0.4,14.8,0.1,-,"일본(3,007)","독일(1,822)","중국(1,649)","필리핀(1,345)",스위스(820),스웨덴(644),미국(510),체코(398),이탈리아(331),스페인(177),오스트리아(146),헝가리(127),벨기에(120),폴란드(103),프랑스(93),슬로바키아(93),에스토니아(80),노르웨이(80),튀르키예(74),덴마크(68),한국(66),네덜란드(64),태국(62),멕시코(61),영국(54),베트남(27),브라질(25),루마니아(25),슬로베니아(24),캐나다(18),"12,979",6.9,"1,534",-34.3,"12,143",23.4,"2,334",64.0,"9,843",-8.8,"1,424",-32.7
65,방글라데시,"9,381",10,"-9,372",-,-,-2.9,49.8,0.0,-,"중국(5,253)","싱가포르(1,470)",인도(345),독일(256),미국(101),일본(40),스위스(29),영국(26),체코(17),덴마크(10),네덜란드(9),튀르키예(2),오스트리아(1),프랑스(0),스웨덴(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,381",196.7,10,135.2,"3,162",-24.3,4,39.6,"4,179",-29.7,3,-84.1
66,코스타리카,946,"3,325","2,379",-,-,-23.1,-42.6,0.0,-,미국(319),멕시코(181),중국(106),독일(71),스페인(49),스위스(26),스웨덴(9),캐나다(8),네덜란드(4),튀르키예(4),프랑스(2),벨기에(2),인도(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,946,31.9,"3,325",162.0,717,-75.1,"1,269",492.6,"2,877",33.6,214,-95.9
67,볼리비아,584,5,-578,8,1.3,2.9,6.5,0.0,-,중국(110),미국(86),독일(40),이탈리아(39),캐나다(32),일본(25),스페인(24),브라질(20),영국(14),프랑스(11),스위스(10),덴마크(8),한국(8),칠레(7),체코(4),아르헨티나(4),벨기에(1),그리스(1),세르비아(1),슬로베니아(1),멕시코(1),헝가리(1),튀르키예(0),오스트리아(0),인도네시아(0),베트남(0),홍콩(0),슬로바키아(0),-,-,584,39.8,5,956.6,418,-18.8,1,-95.6,514,-22.4,11,8.5
68,카타르,"4,847",200,"-4,647",29,0.6,8.5,41.9,0.0,-,중국(864),일본(680),스위스(573),미국(488),독일(255),호주(233),인도(89),영국(58),네덜란드(39),튀르키예(37),한국(29),벨기에(26),체코(24),브라질(20),캐나다(19),프랑스(19),노르웨이(17),멕시코(17),폴란드(16),핀란드(15),오스트리아(5),싱가포르(4),덴마크(2),스웨덴(1),헝가리(0),스페인(0),슬로베니아(0),-,-,-,"4,847",127.8,200,926.8,"2,127",-11.6,19,-33.9,"2,407",-21.1,29,-91.0
69,생바르텔레미,2,72,69,-,-,-,-8.1,0.0,-,독일(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,72,-,-,-,-,-,3,-90.9,-,-
70,파라과이,840,53,-787,52,6.2,2.6,37.5,0.0,-,중국(278),브라질(112),미국(79),한국(52),독일(39),아랍에미리트(37),캐나다(26),프랑스(13),스웨덴(12),스위스(12),스페인(8),오스트리아(7),인도(7),포르투갈(6),아르헨티나(5),이탈리아(5),일본(4),슬로바키아(4),멕시코(4),튀르키예(4),영국(2),룩셈부르크(2),아일랜드(2),네덜란드(1),체코(1),싱가포르(1),벨기에(1),폴란드(0),세르비아(0),필리핀(0),840,52.6,53,-21.9,551,24.0,68,-23.1,444,13.5,88,"1,362.6"
71,피지,200,126,-74,0,0.1,-18.1,23.2,0.0,-,중국(68),뉴질랜드(50),호주(37),미국(19),프랑스(6),독일(5),영국(3),싱가포르(3),캐나다(1),일본(1),태국(0),슬로바키아(0),한국(0),홍콩(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-74.8,126,-4.6,795,502.9,132,400.0,132,-44.2,26,-74.9
72,마카오,251,269,18,-,-,14.4,82.7,0.0,-,중국(145),홍콩(55),스위스(12),슬로바키아(6),독일(6),일본(4),영국(4),오스트리아(1),미국(1),싱가포르(1),태국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251,312.3,269,969.5,61,-19.1,25,-56.2,75,-90.6,57,95.6
73,페루,"3,787",8,"-3,779",-,-,-1.4,9.6,0.0,-,"중국(2,114)",미국(623),독일(243),네덜란드(69),스위스(60),스페인(35),노르웨이(35),멕시코(29),영국(25),튀르키예(12),체코(12),스웨덴(12),인도(6),벨기에(4),오스트리아(3),덴마크(1),폴란드(1),캐나다(1),슬로베니아(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,"3,787",35.9,8,-94.9,"2,787",-11.6,166,-39.6,"3,152",-40.2,275,112.4
74,에티오피아,"2,051",37,"-2,014",-,-,8.1,21.6,0.0,-,"중국(1,735)",영국(153),독일(65),미국(21),인도(7),스위스(2),튀르키예(1),스웨덴(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,051",-38.2,37,-64.2,"3,321",139.3,104,"6,496.4","1,388",-42.1,2,-99.6
75,룩셈부르크,"2,605",390,"-2,215",1,0.0,3.9,-15.8,0.0,-,중국(805),독일(658),홍콩(478),네덜란드(189),노르웨이(159),기타국(64),벨기에(35),미국(32),체코(23),프랑스(18),스위스(9),헝가리(8),오스트리아(6),이탈리아(6),스웨덴(5),덴마크(4),일본(4),튀르키예(3),스페인(1),핀란드(1),폴란드(1),룩셈부르크(1),한국(1),슬로바키아(1),보스니아 헤르체고비나(1),슬로베니아(0),영국(0),말레이시아(0),태국(0),인도(0),"2,605",-27.8,390,-27.0,"3,608",-1.7,535,-28.5,"3,671",23.5,748,17.7
76,과테말라,"4,779",113,"-4,666",7,0.1,22.5,37.0,0.0,-,"미국(1,438)","중국(1,360)",멕시코(381),이탈리아(315),독일(183),인도(88),싱가포르(73),일본(68),파나마(62),스페인(54),불가리아(50),체코(42),캐나다(38),브라질(28),스웨덴(24),온두라스(18),베트남(15),프랑스(13),태국(12),콜롬비아(9),한국(7),스위스(7),네덜란드(5),에콰도르(5),벨기에(4),헝가리(3),영국(3),엘살바도르(2),오스트리아(2),필리핀(1),"4,779",64.0,113,136.3,"2,914",14.4,48,33.1,"2,547",-23.3,36,-69.5
77,알제리,"6,806",37,"-6,768",-,-,-5.4,-1.5,0.0,-,"캐나다(2,703)",중국(924),프랑스(412),체코(386),영국(336),독일(258),스위스(55),스페인(16),튀르키예(14),네덜란드(7),미국(6),슬로바키아(2),벨기에(1),오스트리아(1),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,806",133.7,37,"4,141.8","2,913",-58.5,1,-,"7,020",106.0,-,-
78,카메룬,338,214,-125,-,-,17.4,10.8,0.0,-,중국(183),네덜란드(24),미국(18),독일(14),프랑스(13),튀르키예(4),벨기에(4),인도(4),스위스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,338,28.2,214,577.8,264,-4.3,32,-,276,-9.2,-,-
79,벨라루스,"4,406",95,"-4,312",-,-,-0.7,-27.2,0.0,-,"중국(2,821)",폴란드(378),독일(168),스위스(54),체코(29),튀르키예(20),오스트리아(9),일본(7),캐나다(6),스웨덴(6),미국(4),덴마크(3),인도(1),벨기에(0),프랑스(0),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,406",-52.3,95,-98.3,"9,241",11.0,"5,564",26.9,"8,321",18.0,"4,383",27.7
80,에콰도르,"2,380",42,"-2,338",-,-,-3.2,6.9,0.0,-,"중국(1,425)",독일(277),미국(118),스위스(67),스페인(41),네덜란드(18),멕시코(11),영국(10),스웨덴(7),캐나다(5),일본(5),덴마크(3),프랑스(2),폴란드(1),루마니아(1),체코(1),오스트리아(1),튀르키예(0),싱가포르(0),인도(0),벨기에(0),-,-,-,-,-,-,-,-,-,"2,380",-24.9,42,-90.1,"3,169",52.1,428,935.0,"2,084",-47.9,41,-66.7
81,콩고민주공화국,527,3,-524,-,-,40.3,47.5,0.0,-,중국(473),미국(9),폴란드(8),네덜란드(7),독일(2),프랑스(2),스위스(1),벨기에(1),오스트리아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527,98.0,3,-,266,10.0,-,-,242,-21.4,1,149.1
82,오만,"2,140",171,"-1,969",-,-,14.7,-1.7,0.0,-,"일본(1,069)",중국(202),독일(148),영국(144),네덜란드(102),미국(94),프랑스(13),인도(10),벨기에(8),스위스(8),오스트리아(6),싱가포르(4),덴마크(3),체코(2),노르웨이(2),튀르키예(2),헝가리(1),스페인(1),-,-,-,-,-,-,-,-,-,-,-,-,"2,140",-52.3,171,-92.6,"4,486",102.4,"2,304",34.7,"2,216",25.4,"1,710",358.3
83,우간다,"1,833",0,"-1,833",-,-,71.1,-55.9,0.0,-,중국(696),미국(403),스웨덴(340),인도(16),독일(3),스위스(2),체코(1),네덜란드(1),벨기에(1),폴란드(0),프랑스(0),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,833",-56.9,0,-,"4,250",-55.0,-,-,"9,447",-5.8,447,"6,912.4"
84,라트비아,"2,007",635,"-1,372",0,0.0,13.2,21.3,0.0,-,중국(463),리투아니아(248),독일(225),폴란드(188),미국(166),스위스(98),영국(90),네덜란드(74),러시아연방(46),체코(36),슬로베니아(35),인도(32),벨기에(31),스웨덴(26),핀란드(25),노르웨이(25),에스토니아(24),프랑스(14),일본(12),우크라이나(7),홍콩(6),덴마크(5),오스트리아(4),튀르키예(3),룩셈부르크(2),포르투갈(1),멕시코(1),스페인(1),한국(0),이스라엘(0),"2,007",16.5,635,40.1,"1,723",26.3,453,-3.5,"1,364",42.9,470,77.8
85,카자흐스탄,"7,571",438,"-7,133",6,0.1,32.0,19.9,0.0,-,"중국(2,197)","미국(1,388)",러시아연방(503),독일(419),체코(204),루마니아(167),영국(101),스위스(99),오스트리아(55),필리핀(32),튀르키예(31),스페인(30),일본(27),벨라루스(21),헝가리(16),말레이시아(11),스웨덴(10),불가리아(8),멕시코(7),키르기스스탄(7),그리스(7),한국(6),폴란드(5),프랑스(5),리투아니아(4),-,인도(4),덴마크(2),슬로베니아(2),네덜란드(2),"7,571",178.5,438,"61,729.5","2,719",-48.3,1,-99.5,"5,263",63.3,133,163.6
86,크로아티아,"9,731","2,138","-7,593",3,0.0,9.1,6.1,0.0,-,"중국(3,375)","독일(1,926)",네덜란드(602),오스트리아(494),슬로베니아(451),이탈리아(381),폴란드(364),프랑스(312),덴마크(281),스위스(209),헝가리(109),스웨덴(86),튀르키예(78),체코(68),미국(48),그리스(45),벨기에(27),리투아니아(23),브라질(23),멕시코(23),영국(17),노르웨이(16),루마니아(9),슬로바키아(8),스페인(6),포르투갈(5),홍콩(4),보스니아 헤르체고비나(3),캐나다(3),한국(3),"9,731",13.9,"2,138",-28.1,"8,545",-1.2,"2,974",37.2,"8,645",3.4,"2,167",8.5
87,라오스,179,1,-178,-,-,-44.0,-43.8,0.0,-,중국(167),튀르키예(5),영국(2),체코(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,-94.8,1,-,"3,468",512.3,-,-,566,-82.3,-,-
88,코트디부아르,839,58,-780,-,-,24.3,9.2,0.0,-,중국(345),프랑스(130),독일(39),벨기에(23),네덜란드(9),스위스(8),미국(5),체코(3),튀르키예(1),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,839,-46.5,58,-,"1,569",122.9,-,-,704,-78.6,1,-63.6
89,군소 외곽제도,1,-,-,-,-,-,-,0.0,-,덴마크(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
90,우즈베키스탄,"4,804",2,"-4,802","3,995",83.2,25.0,8.0,0.0,-,"한국(3,995)",중국(167),튀르키예(80),독일(73),홍콩(66),이탈리아(59),리투아니아(32),카자흐스탄(11),러시아연방(11),에스토니아(11),미국(10),폴란드(9),스페인(7),프랑스(6),오스트리아(5),아랍에미리트(5),스위스(4),일본(4),라트비아(3),덴마크(2),루마니아(2),체코(2),스웨덴(1),벨기에(0),네덜란드(0),이란(0),-,-,-,-,"4,804",73.7,2,"21,110.0","2,766",-32.9,0,-100.0,"4,121",-4.4,37,-6.8
91,중앙아프리카공화국,11,-,-,-,-,-41.6,761.9,0.0,-,튀르키예(6),일본(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,173.7,-,-,4,"2,614.1",-,-,0,-91.3,-,-
